team,week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
NYG,15,18.18421052631579,22,-1.1795668005500648
CIN,15,21.55263157894737,23,-2.3593087292400705
ATL,15,17.763157894736842,24,-2.5675040852731827
ARI,15,18.73684210526316,25,-3.4564949033964183
CAR,15,20.473684210526315,26,-3.470823221771727
CLE,15,18.31578947368421,27,-3.789823950966289
WAS,15,18.842105263157897,28,-5.897038326329192
NO,15,18.289473684210527,29,-6.349752379814981
NYJ,15,20.81578947368421,30,-7.208069910516585
TEN,15,22.36842105263158,31,-9.40466878975318
LV,15,22.210526315789473,32,-11.173297653013634
LA,16,8.368421052631579,1,11.14970375676894
SEA,16,8.289473684210526,2,10.896611658546592
HOU,16,12.289473684210526,3,8.297716102900171
NE,16,8.973684210526315,4,8.144144665558166
LAC,16,12.605263157894736,5,7.438386074531
JAX,16,9.289473684210526,6,7.169885513823483
BUF,16,11.078947368421051,7,6.504404410735991
IND,16,11.710526315789474,8,5.724723883034511
DEN,16,11.157894736842104,9,5.672995105093401
GB,16,10.13157894736842,10,4.493267908435147
SF,16,13.657894736842104,11,4.307873742693361
KC,16,13.157894736842104,12,4.155241389477006
DET,16,12.342105263157896,13,3.1938075048180523
CHI,16,13.052631578947368,14,2.8805960412827427
MIN,16,14.789473684210526,15,2.2099616973945606
PHI,16,12.5,16,1.1834466172293363
BAL,16,14.263157894736842,17,0.00547483628628975
MIA,16,17.07894736842105,18,-0.064071841978417865
PIT,16,15.5,19,-0.45093078455820607
DAL,16,17.605263157894736,20,-1.1717148870289595
CIN,16,20.789473684210527,21,-1.3177693296467377
TB,16,18.473684210526315,22,-1.506310553566469
CLE,16,18.973684210526315,23,-1.9394483595726435
NYG,16,19.26315789473684,24,-2.008264955145079
ATL,16,18.31578947368421,25,-2.538309171930443
NO,16,16.973684210526315,26,-3.2026932365134875
ARI,16,18.55263157894737,27,-3.369001913045244
CAR,16,20.44736842105263,28,-3.815469747846462
WAS,16,19.105263157894736,29,-7.199332312850898
TEN,16,22,30,-7.544209306180317
NYJ,16,21.42105263157895,31,-7.552463302835294
LV,16,21.63157894736842,32,-8.774405079496432
LA,17,8.631578947368421,1,10.896217200280828
SEA,17,7.947368421052632,2,10.76942870378468
NE,17,8,3,8.866966856137612
HOU,17,12.81578947368421,4,8.758157539772203
JAX,17,9.105263157894736,5,8.294319425920474
BUF,17,10.105263157894736,6,6.863567853981669
DEN,17,11.157894736842104,7,6.683769123271904
LAC,17,13.026315789473685,8,5.881382953890539
IND,17,12.31578947368421,9,5.309588910755175
SF,17,13.605263157894736,10,4.780742375661385
KC,17,13.31578947368421,11,4.264407662993624
DET,17,12.210526315789474,12,3.388731174919821
CHI,17,13.105263157894736,13,3.0177389726021735
GB,17,10.578947368421053,14,2.6742495809426408
PHI,17,12.842105263157896,15,1.6065181465282816
MIN,17,14.078947368421053,16,1.4709036487039544
BAL,17,14.210526315789474,17,0.6275287762799314
NYG,17,18.157894736842106,18,0.07277478599417908
DAL,17,17.289473684210527,19,-0.05659985196779213
CIN,17,19.605263157894736,20,-0.10766896563609563
